view_id,view_name,indicator_name,indicator_id,v10_block,v10_block_weight,view_weight
VIEW_ORTHO,ortho_score,ba_reprojection_score,L3I_PROC_001,ba_quality_score,0.2,0.1
VIEW_ORTHO,ortho_score,camera_alignment_score,L3I_PROC_002,ba_quality_score,0.2,0.1
VIEW_ORTHO,ortho_score,camera_position_ensemble_score,L3I_PROC_003,ba_quality_score,0.15,0.07
VIEW_ORTHO,ortho_score,self_calibration_quality_score,L3I_PROC_007,ba_quality_score,0.1,0.03
VIEW_ORTHO,ortho_score,alignment_accuracy_setting_score,L3I_PROC_009,image_matching_score,0.2,0.08
VIEW_ORTHO,ortho_score,tiepoint_density_score,L3I_PROC_011,image_matching_score,0.15,0.07
VIEW_ORTHO,ortho_score,tiepoint_multiplicity_score,L3I_PROC_012,image_matching_score,0.1,0.05
VIEW_ORTHO,ortho_score,cp_rmse_score,L3I_PROC_017,control_verification_score,0.35,0.15
VIEW_ORTHO,ortho_score,gcp_rmse_score,L3I_PROC_018,control_verification_score,0.15,0.07
VIEW_ORTHO,ortho_score,per_cp_outlier_score,L3I_PROC_019,control_verification_score,0.1,0.05
VIEW_ORTHO,ortho_score,marker_role_consistency_score,L3I_PROC_020,control_verification_score,0.08,0.03
VIEW_ORTHO,ortho_score,gcp_coord_consistency_score,L3I_PROC_021,control_verification_score,0.07,0.02
VIEW_ORTHO,ortho_score,output_crs_project_match_score,L3I_PROC_031,deliverable_output_score,0.3,0.1
VIEW_ORTHO,ortho_score,output_crs_projection_score,L3I_PROC_032,deliverable_output_score,0.2,0.05
VIEW_ORTHO,ortho_score,internal_transform_consistency_score,L3I_PROC_033,deliverable_output_score,0.15,0.03
